2021-12-13 23:33:54 [main] INFO  finalproject.model.dao.impl.UserDiscountDao - The list of discounts: [by.epam.finalproject.model.entity.UserDiscount@3ff, by.epam.finalproject.model.entity.UserDiscount@1306, by.epam.finalproject.model.entity.UserDiscount@2995, by.epam.finalproject.model.entity.UserDiscount@38a5, by.epam.finalproject.model.entity.UserDiscount@43e8, by.epam.finalproject.model.entity.UserDiscount@47a9, by.epam.finalproject.model.entity.UserDiscount@3893, by.epam.finalproject.model.entity.UserDiscount@3c54, by.epam.finalproject.model.entity.UserDiscount@4015, by.epam.finalproject.model.entity.UserDiscount@43d6]
2021-12-13 23:35:09 [main] INFO  finalproject.model.dao.impl.UserDiscountDao - Entity: by.epam.finalproject.model.entity.UserDiscount@1306
2021-12-13 23:35:59 [main] INFO  finalproject.model.dao.impl.UserDiscountDao - Entity: UserDiscount{discountId=2, discount=0.03, yearOrders=3}
2021-12-15 12:45:30 [main] INFO  finalproject.model.dao.impl.UserDiscountDao - Entity: UserDiscount{discountId=2, discount=0.03, yearOrders=3}
2021-12-16 21:16:25 [main] INFO  finalproject.model.dao.impl.UserDiscountDao - The list of discounts: [UserDiscount{discountId=1, discount=0.00, yearOrders=0}, UserDiscount{discountId=2, discount=0.03, yearOrders=3}, UserDiscount{discountId=4, discount=0.07, yearOrders=12}, UserDiscount{discountId=5, discount=0.10, yearOrders=24}, UserDiscount{discountId=8, discount=0.10, yearOrders=24}, UserDiscount{discountId=9, discount=0.10, yearOrders=24}, UserDiscount{discountId=10, discount=0.05, yearOrders=6}, UserDiscount{discountId=11, discount=0.05, yearOrders=6}, UserDiscount{discountId=12, discount=0.05, yearOrders=6}, UserDiscount{discountId=13, discount=0.05, yearOrders=6}]
2021-12-16 21:17:10 [main] INFO  finalproject.model.dao.impl.UserDiscountDao - The list of discounts: [UserDiscount{discountId=1, discount=0.00, yearOrders=0}, UserDiscount{discountId=2, discount=0.03, yearOrders=3}, UserDiscount{discountId=4, discount=0.07, yearOrders=12}, UserDiscount{discountId=5, discount=0.10, yearOrders=24}, UserDiscount{discountId=8, discount=0.10, yearOrders=24}, UserDiscount{discountId=9, discount=0.10, yearOrders=24}, UserDiscount{discountId=10, discount=0.05, yearOrders=6}, UserDiscount{discountId=11, discount=0.05, yearOrders=6}, UserDiscount{discountId=12, discount=0.05, yearOrders=6}, UserDiscount{discountId=13, discount=0.05, yearOrders=6}]
2021-12-16 22:52:34 [main] INFO  finalproject.model.dao.impl.UserDiscountDao - Entity: UserDiscount{discountId=2, discount=0.03, yearOrders=3}
2021-12-16 22:54:05 [main] INFO  finalproject.model.dao.impl.UserDiscountDao - Entity: UserDiscount{discountId=2, discount=0.03, yearOrders=3}
2021-12-16 23:06:51 [main] INFO  finalproject.model.dao.impl.UserDaoImpl - List: []
2021-12-16 23:07:40 [main] INFO  finalproject.model.dao.impl.UserDaoImpl - List: []
2021-12-16 23:08:17 [main] INFO  finalproject.model.dao.impl.UserDiscountDao - The list of discounts: [UserDiscount{discountId=1, discount=0.00, yearOrders=0}, UserDiscount{discountId=2, discount=0.03, yearOrders=3}, UserDiscount{discountId=4, discount=0.07, yearOrders=12}, UserDiscount{discountId=5, discount=0.10, yearOrders=24}, UserDiscount{discountId=8, discount=0.10, yearOrders=24}, UserDiscount{discountId=9, discount=0.10, yearOrders=24}, UserDiscount{discountId=10, discount=0.05, yearOrders=6}, UserDiscount{discountId=11, discount=0.05, yearOrders=6}, UserDiscount{discountId=12, discount=0.05, yearOrders=6}, UserDiscount{discountId=13, discount=0.05, yearOrders=6}]
