2021-11-18 20:06:40 [Thread-0] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 1
2021-11-18 20:06:40 [Thread-3] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 3
2021-11-18 20:06:40 [Thread-5] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 6 is serviced by terminal and spoiling products are true
2021-11-18 20:06:40 [Thread-4] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 5 is serviced by terminal and spoiling products are false
2021-11-18 20:06:40 [Thread-1] INFO  by.epam.taskfifth.entity.Terminal - Terminal2has served a lorry 2and spoiling products are true
2021-11-18 20:06:40 [Thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 2
2021-11-18 20:06:40 [Thread-2] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 3 is serviced by terminal and spoiling products are false
2021-11-18 20:06:41 [Thread-4] INFO  by.epam.taskfifth.entity.Terminal - Terminal3has served a lorry 5and spoiling products are false
2021-11-18 20:06:41 [Thread-4] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 3
2021-11-18 20:06:41 [Thread-5] INFO  by.epam.taskfifth.entity.Terminal - Terminal1has served a lorry 6and spoiling products are true
2021-11-18 20:06:41 [Thread-5] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 1
2021-11-18 20:06:41 [Thread-2] INFO  by.epam.taskfifth.entity.Terminal - Terminal2has served a lorry 3and spoiling products are false
2021-11-18 20:06:41 [Thread-2] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 2
2021-11-18 20:07:12 [Thread-3] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 4 is serviced by terminal and spoiling products are false
2021-11-18 20:07:12 [Thread-6] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry has not spoiling products
2021-11-18 20:07:12 [Thread-0] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 1 is serviced by terminal and spoiling products are false
2021-11-18 20:07:12 [Thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 2 is serviced by terminal and spoiling products are true
2021-11-18 20:07:12 [Thread-5] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry has spoiling products
2021-11-18 20:07:12 [Thread-2] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry has not spoiling products
2021-11-18 20:07:12 [Thread-7] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry has spoiling products
2021-11-18 20:07:12 [Thread-4] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry has not spoiling products
2021-11-18 20:07:13 [Thread-0] INFO  by.epam.taskfifth.entity.Terminal - Terminal3has served a lorry 1and spoiling products are false
2021-11-18 20:07:13 [Thread-3] INFO  by.epam.taskfifth.entity.Terminal - Terminal2has served a lorry 4and spoiling products are false
2021-11-18 20:07:13 [Thread-0] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 3
2021-11-18 20:07:13 [Thread-3] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 2
2021-11-18 20:07:13 [Thread-7] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 8 is serviced by terminal and spoiling products are true
2021-11-18 20:07:13 [Thread-5] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 6 is serviced by terminal and spoiling products are true
2021-11-18 20:07:13 [Thread-1] INFO  by.epam.taskfifth.entity.Terminal - Terminal1has served a lorry 2and spoiling products are true
2021-11-18 20:07:13 [Thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 1
2021-11-18 20:07:13 [Thread-6] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 7 is serviced by terminal and spoiling products are false
2021-11-18 20:07:14 [Thread-5] INFO  by.epam.taskfifth.entity.Terminal - Terminal2has served a lorry 6and spoiling products are true
2021-11-18 20:07:14 [Thread-6] INFO  by.epam.taskfifth.entity.Terminal - Terminal1has served a lorry 7and spoiling products are false
2021-11-18 20:07:14 [Thread-6] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 1
2021-11-18 20:07:14 [Thread-2] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 3 is serviced by terminal and spoiling products are false
2021-11-18 20:07:14 [Thread-5] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 2
2021-11-18 20:07:14 [Thread-7] INFO  by.epam.taskfifth.entity.Terminal - Terminal3has served a lorry 8and spoiling products are true
2021-11-18 20:07:14 [Thread-4] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 5 is serviced by terminal and spoiling products are false
2021-11-18 20:07:14 [Thread-7] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 3
2021-11-18 20:07:15 [Thread-2] INFO  by.epam.taskfifth.entity.Terminal - Terminal1has served a lorry 3and spoiling products are false
2021-11-18 20:07:15 [Thread-4] INFO  by.epam.taskfifth.entity.Terminal - Terminal2has served a lorry 5and spoiling products are false
2021-11-18 20:07:15 [Thread-4] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 2
2021-11-18 20:07:15 [Thread-2] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 1
2021-11-18 20:09:17 [Thread-0] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 1 is serviced by terminal and spoiling products are false
2021-11-18 20:09:17 [Thread-3] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry has not spoiling products
2021-11-18 20:09:17 [Thread-2] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 3 is serviced by terminal and spoiling products are false
2021-11-18 20:09:17 [Thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 2 is serviced by terminal and spoiling products are true
2021-11-18 20:09:17 [Thread-6] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry has not spoiling products
2021-11-18 20:09:17 [Thread-4] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry has not spoiling products
2021-11-18 20:09:17 [Thread-5] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry has spoiling products
2021-11-18 20:09:17 [Thread-7] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry has spoiling products
2021-11-18 20:09:18 [Thread-2] INFO  by.epam.taskfifth.entity.Terminal - Terminal2has served a lorry 3and spoiling products are false
