2021-11-26 15:05:50 [Timer-7] DEBUG by.epam.taskfifth.entity.LogisticBase - Timer cycle
2021-11-26 15:05:50 [Timer-2] DEBUG by.epam.taskfifth.entity.LogisticBase - Timer cycle
2021-11-26 15:05:50 [Timer-5] DEBUG by.epam.taskfifth.entity.LogisticBase - Timer cycle
2021-11-26 15:05:50 [Timer-2] DEBUG by.epam.taskfifth.entity.LogisticBase - [by.epam.taskfifth.entity.Terminal@656c0662, by.epam.taskfifth.entity.Terminal@1104a54c, by.epam.taskfifth.entity.Terminal@61538e90, by.epam.taskfifth.entity.Terminal@6cde8149]
2021-11-26 15:05:50 [Timer-1] DEBUG by.epam.taskfifth.entity.LogisticBase - Timer cycle
2021-11-26 15:05:50 [Timer-5] DEBUG by.epam.taskfifth.entity.LogisticBase - [by.epam.taskfifth.entity.Terminal@656c0662, by.epam.taskfifth.entity.Terminal@1104a54c, by.epam.taskfifth.entity.Terminal@61538e90, by.epam.taskfifth.entity.Terminal@6cde8149]
2021-11-26 15:05:50 [Timer-7] DEBUG by.epam.taskfifth.entity.LogisticBase - [by.epam.taskfifth.entity.Terminal@656c0662, by.epam.taskfifth.entity.Terminal@1104a54c, by.epam.taskfifth.entity.Terminal@61538e90, by.epam.taskfifth.entity.Terminal@6cde8149]
2021-11-26 15:05:50 [Timer-1] DEBUG by.epam.taskfifth.entity.LogisticBase - [by.epam.taskfifth.entity.Terminal@656c0662, by.epam.taskfifth.entity.Terminal@1104a54c, by.epam.taskfifth.entity.Terminal@61538e90, by.epam.taskfifth.entity.Terminal@6cde8149]
2021-11-26 15:05:50 [Timer-6] DEBUG by.epam.taskfifth.entity.LogisticBase - Timer cycle
2021-11-26 15:05:50 [Timer-3] DEBUG by.epam.taskfifth.entity.LogisticBase - Timer cycle
2021-11-26 15:05:50 [Timer-3] DEBUG by.epam.taskfifth.entity.LogisticBase - [by.epam.taskfifth.entity.Terminal@656c0662, by.epam.taskfifth.entity.Terminal@1104a54c, by.epam.taskfifth.entity.Terminal@61538e90, by.epam.taskfifth.entity.Terminal@6cde8149]
2021-11-26 15:05:50 [Timer-0] DEBUG by.epam.taskfifth.entity.LogisticBase - Timer cycle
2021-11-26 15:05:50 [Timer-6] DEBUG by.epam.taskfifth.entity.LogisticBase - [by.epam.taskfifth.entity.Terminal@656c0662, by.epam.taskfifth.entity.Terminal@1104a54c, by.epam.taskfifth.entity.Terminal@61538e90, by.epam.taskfifth.entity.Terminal@6cde8149]
2021-11-26 15:05:50 [Timer-4] DEBUG by.epam.taskfifth.entity.LogisticBase - Timer cycle
2021-11-26 15:05:50 [Timer-0] DEBUG by.epam.taskfifth.entity.LogisticBase - [by.epam.taskfifth.entity.Terminal@656c0662, by.epam.taskfifth.entity.Terminal@1104a54c, by.epam.taskfifth.entity.Terminal@61538e90, by.epam.taskfifth.entity.Terminal@6cde8149]
2021-11-26 15:05:50 [Timer-4] DEBUG by.epam.taskfifth.entity.LogisticBase - [by.epam.taskfifth.entity.Terminal@656c0662, by.epam.taskfifth.entity.Terminal@1104a54c, by.epam.taskfifth.entity.Terminal@61538e90, by.epam.taskfifth.entity.Terminal@6cde8149]
2021-11-26 15:05:51 [pool-2-thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 3
2021-11-26 15:05:51 [main] INFO  by.epam.taskfifth.main.UserMain - Lorry: 1000 Terminal: 3
2021-11-26 15:05:51 [main] INFO  by.epam.taskfifth.main.UserMain - Lorry: 1100 Terminal: 4
2021-11-26 15:05:51 [main] INFO  by.epam.taskfifth.main.UserMain - Lorry: 1200 Terminal: 1
2021-11-26 15:05:51 [main] INFO  by.epam.taskfifth.main.UserMain - Lorry: 1300 Terminal: 1
2021-11-26 15:05:51 [main] INFO  by.epam.taskfifth.main.UserMain - Lorry: 1400 Terminal: 4
2021-11-26 15:05:51 [main] INFO  by.epam.taskfifth.main.UserMain - Lorry: 1500 Terminal: 3
2021-11-26 15:05:51 [main] INFO  by.epam.taskfifth.main.UserMain - Lorry: 1600 Terminal: 2
2021-11-26 15:05:51 [main] INFO  by.epam.taskfifth.main.UserMain - Lorry: 1700 Terminal: 5
2021-11-26 15:05:51 [main] INFO  by.epam.taskfifth.main.UserMain - Lorry: 1800 Terminal: 3
2021-11-26 15:05:51 [main] INFO  by.epam.taskfifth.main.UserMain - Lorry: 1900 Terminal: 1
2021-11-26 15:06:02 [main] DEBUG by.epam.taskfifth.reader.CustomReader - [id=1000 spoiling=true upload=30 size=40, id=1100 spoiling=false unload=30 size=40, id=1200 spoiling=true unload=30 size=40, id=1300 spoiling=false upload=30 size=40, id=1400 spoiling=true unload=30 size=40, id=1500 spoiling=false upload=30 size=40, id=1600 spoiling=false upload=30 size=40, id=1700 spoiling=true unload=30 size=40, id=1800 spoiling=true unload=30 size=40, id=1900 spoiling=false unload=30 size=40]
2021-11-26 15:06:02 [pool-2-thread-1] DEBUG by.epam.taskfifth.reader.CustomReader - [id=1 size=100, id=2 size=100, id=3 size=100, id=4 size=100, id=5 size=100]
2021-11-26 15:06:03 [pool-2-thread-9] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 1800 is serviced by terminal and spoiling products are true
2021-11-26 15:06:03 [pool-2-thread-2] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 1100 is serviced by terminal and spoiling products are false
2021-11-26 15:06:03 [pool-2-thread-9] INFO  by.epam.taskfifth.entity.Terminal - The rest is 130
2021-11-26 15:06:03 [pool-2-thread-2] INFO  by.epam.taskfifth.entity.Terminal - The rest is 80
2021-11-26 15:06:03 [pool-2-thread-9] INFO  by.epam.taskfifth.entity.Terminal - Terminal 1has served a lorry 1800 and spoiling products are true
2021-11-26 15:06:03 [pool-2-thread-8] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 1700 is serviced by terminal and spoiling products are true
2021-11-26 15:06:03 [pool-2-thread-8] INFO  by.epam.taskfifth.entity.Terminal - The rest is 80
2021-11-26 15:06:03 [pool-2-thread-8] INFO  by.epam.taskfifth.entity.Terminal - Terminal 2has served a lorry 1700 and spoiling products are true
2021-11-26 15:06:03 [pool-2-thread-2] INFO  by.epam.taskfifth.entity.Terminal - Terminal 3has served a lorry 1100 and spoiling products are false
2021-11-26 15:06:06 [pool-2-thread-9] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 1
2021-11-26 15:06:10 [pool-2-thread-8] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 2
